title
Java高级开发工程师	中国电子科技集团公司第五十二研究所	杭州	
Java开发工程师(接受应届生)	陕西航天信息有限公司	西安	
Java高级开发工程师	武汉物易云通网络科技有限公司	武汉-江夏区	
Java开发工程师	南昌觅律科技有限公司	宁波-江北区	
Java高级开发工程师	深圳坐标软件集团有限公司	深圳-福田区	
Java高级开发工程师	深圳市前海美泰网科技有限公司	深圳-龙岗区	
Java开发工程师	武汉迪赛威智能科技有限公司	武汉	
java开发（大型广告系统）	深圳市德科信息技术有限公司	深圳-宝安区	
Java开发工程师	深圳方思鼎云科技有限公司	深圳-龙华区	
java开发工程师	招商华软信息有限公司	广州-天河区	
Java后台开发工程师（福田上班）	深圳市普实科技有限公司	深圳-福田区	
Java开发工程师	中电科技（北京）股份有限公司	北京-海淀区	
Java软件工程师	武汉开目信息技术股份有限公司	武汉	
Java开发工程师（新疆电信）	联想中望系统服务有限公司（现越亮传奇科技股份有限公司）	乌鲁木齐	
Java开发工程师	海卫特（广州）医疗科技有限公司	广州	
Technical Services 软件开发(Java/全栈/大数据)	链睿信息服务（南通）有限公司上海分公司	南通-崇川区	
高级JAVA开发工程师	深圳市实信达科技开发有限公司	深圳-宝安区	
Java高级开发工程师	广东建方房屋租赁管理有限公司	广州-天河区	
中级JAVA开发工程师	武汉共成联创信息技术有限公司	武汉-汉阳区	
Java开发资深工程师	南京简智达信息科技有限公司	南京-浦口区	
JAVA开发工程师	小小金（深圳）投资控股有限公司	深圳-福田区	
JAVA开发工程师(Team Leader)	汇动信息科技（上海）有限公司	上海-闵行区	
Java开发工程师	湖北博士文具有限公司	武汉	
Java开发工程师+五险一金	郑州市智成软件科技有限公司	郑州-高新区	
Java开发工程师	厦门通创检测技术有限公司	厦门-集美区	
Java开发师	南京云正数据科技有限公司	南京-栖霞区	
Java开发工程师	广东卓腾信息服务有限公司	佛山-南海区	
JAVA开发工程师	宁波颐博科技有限公司	宁波	
Java开发工程师	广东省国基教育发展研究院	广州-番禺区	
Java中级工程师	南京优之行文化科技有限公司	南京-雨花台区	
Java开发工程师	广州市奔流电力科技有限公司	广州-黄埔区	
Java开发工程师	宜昌市才源软件科技有限公司	宜昌-西陵区	
Java中级开发工程师	西安黑格信息科技有限公司	西安-高新技术产业开发区	
Java高级开发工程师	南京融银万家网络科技有限公司	上海-黄浦区	
Java开发工程师	珠海南方智运汽车科技有限公司	深圳-宝安区	
Java开发工程师	长沙章鱼软件科技有限公司	长沙	
JAVA开发工程师（全资国企）	福州迅腾信息技术有限公司	福州	
Java技术专家（年底双薪）	广州烽云信息科技有限公司	广州-天河区	
Java高级开发工程师	珠海经济特区伟思有限公司	珠海	
Java web开发工程师	沈阳瀚深电子科技有限公司	沈阳-沈河区	
Java开发工程师	上海蓝丰信息科技有限公司	上海-浦东新区	
Java开发工程师	广东思普瑞云科技有限公司	东莞-东城区	
java工程师（客鹭）	常州科睿达信息科技有限公司	南京-雨花台区	
Java高级开发工程师	武汉一青科技有限公司	武汉-江汉区	
Java开发工程师	杭州意能电力技术有限公司	杭州-拱墅区	
Java开发工程师	重庆超硅半导体有限公司	重庆-北碚区	
Java开发工程师	格创东智（深圳）科技有限公司	武汉-武昌区	
JAVA 开发工程师	武汉上点点信息有限公司	武汉-江汉区	
Java开发工程师	江苏德高物联技术有限公司	南通-崇川区	
系统架构师（Java方向）	青岛通产智能科技股份有限公司	青岛-城阳区	
Java高级开发工程师	武汉睿芯教育科技有限公司	武汉-洪山区	
Java研发工程师	深圳市天天讯通科技有限公司	武汉-武昌区	
Java开发工程师	浙江思睿智训科技有限公司	金华-婺城区	
Java中级开发工程师	中科空间信息（廊坊）研究院	廊坊	
Java中级开发工程师	宁波天德创新智能科技有限公司	宁波-北仑区	
Java开发工程师	武汉健民大鹏药业有限公司	武汉-江岸区	
Java开发工程师	舒普智能技术股份有限公司	宁波-鄞州区	
Java高级开发工程师	广州华云数字信息科技有限公司	广州-天河区	
Java开发工程师	上海异工同智信息科技有限公司	上海-浦东新区	
上层医疗行业CRM(Java)	上海认识科技有限公司	上海-静安区	
Java后台开发工程师 13薪 浮动年终奖	上海鲸创电子科技有限公司	上海-闵行区	
Java中级开发工程师	上海海魄信息科技股份有限公司	上海-长宁区	
Java开发工程师	上海青乾科技有限公司	上海-黄浦区	
Java开发工程师	广州极有汇科技有限公司	广州-天河区	
Java开发工程师	南京开典电子产品销售中心	南京-雨花台区	
Java开发工程师	江苏鑫博高分子材料有限公司	宿迁	
JAVA开发	云南健之佳健康连锁店股份有限公司	昆明	
002Java工程师	小鹿腾云（苏州）信息科技有限公司	苏州	
Java（安卓方向）	厦门亿联网络技术股份有限公司	厦门	
JAVA开发工程师	中饮巴比食品股份有限公司	上海	
高级java开发工程师	上海森松制药设备工程有限公司	上海	
Java开发工程师	上海巨灵信息技术股份有限公司	上海	
Java开发工程师（南京）	鼎捷软件股份有限公司	南京	
Java Web开发工程师	上海维略信息科技有限公司	上海	
Java高级开发工程师	上海溪塔科技有限公司	上海	
Java开发工程师	上海敬之网络科技有限公司	上海	
Java开发工程师	北京普析通用仪器有限责任公司	北京	
java开发	湖北蜂云软件有限公司	贵阳-观山湖区	
云智能-神龙资深Java技术专家-北京/杭州	阿里巴巴集团	杭州	
Java后台开发工程师（1Y contractor）	博世（上海）安保系统有限公司成都高新分公司（博世通讯中心）	上海	
Java开发工程师	联想中国PC及服务器工厂	深圳-福田区	
Java开发工程师	德威国际货运代理（上海）有限公司	上海-黄浦区	
JAVA全栈	中软国际科技服务有限公司	武汉-江夏区	
Java架构师	新电信息科技（成都）有限公司	成都-高新区	
Java开发工程师	中海油信息科技有限公司	惠州	
Java开发工程师	广州深海软件股份有限公司	广州-天河区	
Java开发工程师	九阳股份有限公司	浙江省	
Java开发工程师	武汉佰钧成技术有限责任公司	南京	
Java架构师	深圳航天信息有限公司	深圳-宝安区	
程序员（PHP或JAVA方向）	江苏汇鸿国际集团中嘉发展有限公司	南京-秦淮区	
JAVA开发顾问	浙江智蝶软件科技有限公司	嘉兴	
Java中高级开发工程师	江苏米吉传感科技有限公司	无锡-无锡新区	
JAVA高级开发工程师	武汉卓尔信息科技有限公司	武汉-东湖新技术产业开发区	
Java开发工程师	江苏金土木智能科技有限公司	常州-武进区	
Java中级开发工程师	深圳市大也智能数据有限公司	南宁-良庆区	
Java开发工程师	上海岱嘉医学信息系统有限公司	上海-长宁区	
Java开发工程师	武汉洛比科技有限公司	武汉-东湖新技术产业开发区	
Java开发工程师	维恩贝特科技有限公司	深圳-福田区	
Java开发工程师	武汉智远软件有限责任公司	武汉-江汉区	
Java初级开发工程师	深圳闻博大数据信息技术有限公司	深圳	
Java资深开发工程师（Java开发组长）	上海迈辰信息科技有限公司成都分公司	成都-高新区	
Java后端工程师	宁波迅高智能科技有限公司	宁波-高新区	
Java初级开发工程师	广州医博信息技术有限公司	广州-越秀区	
Java开发工程师	添可智能科技有限公司	苏州-吴中区	
Java开发工程师	泰瑞数创科技（北京）有限公司	深圳-宝安区	
java高级软件开发工程师	广州创发软件开发有限公司	广州-天河区	
Java开发工程师	江苏华章物流科技股份有限公司	南京-江宁区	
Java高级开发工程师	广州极点三维信息科技有限公司	广州-增城区	
中高级Java开发工程师（五险一金 双休）	南京宇盾信息科技有限公司	南京-江北新区	
Java开发工程师	南京洛普股份有限公司	南京-浦口区	
Java开发工程师	长沙梦蝶数字科技有限公司	长沙-雨花区	
Java开发工程师	湖南湘能智能电器股份有限公司	长沙-岳麓区	
Java开发工程师	苏州德亚交通技术有限公司	苏州-工业园区	
Java开发工程师	浙江慧中地理信息技术有限公司	杭州-余杭区	
Java开发工程师	深圳市爱康生物科技股份有限公司	深圳-坪山区	
Java开发工程师	深圳市中磁计算机技术有限公司	深圳-南山区	
Java开发工程师（自研）	广州市华粤行仪器有限公司	广州-番禺区	
Java开发工程师（双休上沙地铁站）	深圳市泓齐网络科技有限公司	深圳-南山区	
Java开发工程师	浙江联泰信息系统有限公司	杭州-滨江区	
Java开发工程师（中级）	深圳前海量子云码科技有限公司	深圳-南山区	
Java开发工程师	郑州软通合力计算机技术有限公司	北京-石景山区	
Java开发工程师/软件工程师	Selleck生物（中国）	上海-浦东新区	
Java Front End Software Developer	上海新视野数字科技有限公司	广州-越秀区	
JAVA开发工程师	上海联泉智能科技有限公司	上海-闵行区	
Java开发工程师	深圳英之泰教育科技有限公司	深圳-南山区	
Java高级开发工程师	深圳市海葵信息技术有限公司	深圳-南山区	
Java开发工程师	广东利元亨智能装备股份有限公司	深圳-南山区	
Java开发工程师	深圳索信达数据技术有限公司	深圳-南山区	
Java开发工程师	深圳前海移联科技有限公司	深圳-南山区	
JAVA软件开发工程师	天津天汇数字科技有限公司	乌鲁木齐-新市区	
Java开发工程师（大平台/周末加班双倍）	上海易宝软件有限公司深圳分公司	天津-滨海新区	
Java中级开发工程师	成都珍琅科技有限公司	成都-武侯区	
Java高级开发工程师	诺思格（北京）医药科技股份有限公司	南京-浦口区	
驻场java开发工程师	北京深蓝海域信息科技有限公司	北京-丰台区	
Java开发工程师	河南沃德智能化工程有限公司	郑州-金水区	
Java开发工程师	云歌信息技术（江苏）有限公司	郑州	
Java开发工程师——ERP	广东药链科技有限公司	广州-越秀区	
Java开发工程师	深圳鹏祥投资集团有限公司	深圳-福田区	
中高级JAVA工程师 (MJ000619)	广州天源迪科信息技术有限公司	广州-天河区	
Java开发工程师	广州翔蓝企业管理顾问有限公司	佛山-南海区	
Java开发工程师	杰泰（广州）工程技术服务有限公司	广州-黄埔区	
Java开发工程师	广州光点信息科技有限公司	上海	
JAVA工程师	苏州悦谱半导体有限公司	苏州-工业园区	
Java开发工程师	南京小网科技有限责任公司	南京-建邺区	
Java/Web研发工程师	福州探索网络科技有限公司	福州-鼓楼区	
JAVA开发工程师	广州东方电科自动化有限公司	广州	
Java中级开发工程师	广州微翰计算机科技有限公司	广州-黄埔区	
Java开发工程师	上海双击信息科技有限公司	上海-浦东新区	
Java软件开发工程师	广东雅达电子股份有限公司	广州-黄埔区	
JAVA研发工程师	明远信息技术（广东）有限公司	广州-天河区	
JAVA高级开发工程师	陕西联森电子科技有限公司	西安	
Java开发工程师	广州市网迅信息技术有限公司	广州-越秀区	
Java高级开发工程师	深圳市时代经纬科技有限公司	深圳-南山区	
java后端工程师  急招（双休+入职买社保+地铁旁边）	华南师训文化产业服务（广州）有限公司	广州-番禺区	
Java开发工程师	青岛海通机器人系统有限公司	青岛-崂山区	
Java初级开发工程师	南京铁三角科技有限公司	南京-栖霞区	
Java开发工程师	南京博晟宇网络科技有限公司	南京-江宁区	
Java高级开发工程师	江西源本浩科技有限公司	南昌	
高级JAVA开发工程师（上海） (MJ001229)	深圳市慧择时代科技有限公司	上海-徐汇区	
JAVA开发工程师（营口银行）(J10779)	北京先进数通信息技术股份公司	营口	
Java开发工程师	深圳市卓智达科技有限公司	深圳	
Java开发工程师	南京智慧交通信息股份有限公司	南京-玄武区	
Java高级开发工程师	锐巢万联科技（武汉）有限公司	武汉-武昌区	
Java开发工程师	成都思瑞奇信息产业有限公司	成都-高新区	
Java开发工程师	上海智聆信息技术有限公司	上海-松江区	
Java开发工程师	镇江雅迅软件有限责任公司	镇江	
java 高级开发工程师	广东九通智能装备有限公司	广州-黄埔区	
急聘Java中/高级开发工程师+双休	四川三维系统工程有限责任公司	成都-青羊区	
Java开发工程师	郑州玖坤医药信息咨询有限公司	郑州-高新区	
Java开发工程师	咸亨国际科技股份有限公司	海宁	
JAVA工程师	上海天涛网络科技有限公司	南京-鼓楼区	
Java开发工程师	东方驿站物流科技（深圳）有限公司	深圳-南山区	
Java开发高级技术经理	南京中科软智信息技术有限公司	南京-江北新区	
Java开发经理/主管	浙江警安科技有限公司	杭州-拱墅区	
Java中高级开发	深圳市览众科技股份有限公司	深圳-福田区	
JAVA开发工程师	深圳市睿服科技有限公司	广州-海珠区	
JAVA架构师	广州市天工远科计算机科技有限公司	广州-天河区	
Java中高级开发工程师	重庆虬龙科技有限公司	杭州-余杭区	
java开发工程师（资深/主管）	杭州西奥电梯有限公司	杭州	
Java架构师	深圳市保利物业管理集团有限公司	深圳-南山区	
Java开发工程师(车联网）	广州市九芯电子科技有限公司	广州-黄埔区	
Java高级开发工程师	杭州格来特信息技术有限公司	杭州-滨江区	
Java开发工程师	中经网数据有限公司	北京-西城区	
Java开发工程师	济南云微软件科技有限公司	济南-历下区	
Java开发工程师	江苏迪纳数字科技股份有限公司	南京-秦淮区	
Java开发工程师	数域科技（杭州）有限公司	杭州-拱墅区	
Java开发工程师	湖北聚游科技有限公司	武汉	
Java开发工程师（五险一金双休）	山东天地通数码科技有限公司	济南-高新区	
java web 软件开发工程师	成都志前科技有限公司	成都-金牛区	
Java开发 工程师	浙江欧姆龙电梯有限公司	杭州-临安区	
JAVA开发工程师	上海复医天健医疗服务产业股份有限公司	上海-徐汇区	
Java开发工程师	成都鸿钰网络科技有限公司	成都-武侯区	
资深JAVA开发工程师	中电科数智科技有限公司	上海-徐汇区	
Java开发工程师	深圳市远翰科技有限公司	深圳-南山区	
Java资深开发工程师	广东常备环境信息科技有限公司	广州-天河区	
